bank_branch,address,Latitude,Longitude
Bukit Timah Branch,1 Jalan Anak Bukit #01-19/20 Bukit Timah Plaza Singapore 588996,1.3390447,103.7789794
Jurong Point Branch,1 Jurong West Central 2 #B1-20 Jurong Point Shopping Centre Singapore 648886,1.339514,103.7063431
Great World City Branch - 24/7 Self-service,"1 Kim Seng Promenade #01-126, Great World City Singapore 237994",1.2936417,103.8319293
Harbourfront Branch,1 MARITIME Square #02-122/123 Harbourfront Centre Singapore 099253,1.2641673,103.8202307
White Sands Branch,1 Pasir Ris Central Street 3 #03-05 Singapore 518457,1.3722509,103.949817
Zhenghua CC Branch - 24/7 Self-service,"1 Segar Road #01-06, Zhenghua Community Club Singapore 677738",1.3866753,103.77167
Compass One Branch,1 Sengkang Square #02-05 Singapore 545078,1.3920112,103.8950057
Tanjong Pagar Branch - 24/7 Self-service,"1 Tanjong Pagar Plaza, #01-41 Singapore 082001",1.2748632,103.8426344
Taman Jurong CC Branch - 24/7 Self-service,"1 Yung Sheng Road #01-03, Taman Jurong Community Club Singapore 618495",1.3353702,103.7217666
Marina Bay Sands Branch- 24/7 Self-service,10 Bayfront Avenue #01-30 Singapore 018972,1.2834492,103.8589451
Boon Lay CC Branch - 24/7 Self-service,"10 Boon Lay Place #01-06, Boon Lay Community Club Singapore 649882",1.3484558,103.7114966
Paya Lebar Branch,"10 Eunos Road 8, Singapore Post Centre, #01-106/107/108 Singapore 408600",1.318903,103.894049
Square 2 Branch,10 Sinaran Drive #02-19/20 Square 2 Singapore 307506,1.3211072,103.8443378
Rivervale Plaza Branch - Financial Planning,118 Rivervale Drive #01-08 Rivervale Plaza Singapore 540118,1.3855168,103.9025973
MBFC Branch,12 Marina Boulevard Level 3 MBFC Tower 3 Singapore 018982,1.2790221,103.8544967
Newton Branch - 24/7 Self-service,135 Bukit Timah Rd Singapore 229837,1.3104112,103.8435
Hillion Mall Branch - Financial Planning,17 Petir Road #B1-07/08 Hillion Mall Singapore 678278,1.3784298,103.763132
West Coast CC Branch - 24/7 Self-service,"2 Clementi West Street 2 #01-07, West Coast Community Centre Singapore 129605",1.3029168,103.7648849
Canberra CC Branch - 24/7 Self-service,"2 Sembawang Crescent #01-02, Canberra Community Club Singapore 757632",1.4449347,103.8197721
Century Square,2 Tampines Central 5 #03-14 Century Square Singapore 529509,1.3521795,103.9434921
Century Square,2 Tampines Central 5 #03-14 Century Square Singapore 529509,1.3521795,103.9434921
Serangoon Garden Branch - 24/7 Self Service,20 Maju Avenue Singapore 556694,1.3651302,103.865853
Tampines East Branch - 24/7 Self-service,"201A Tampines Street 21, #01-1051 Singapore 521201",1.35322,103.95259
Yew Tee Point Branch - Financial Planning,"21 Choa Chu Kang North 6, #01-26 Yew Tee Point Mall Singapore 689578",1.3970058,103.7464759
Jurong East Central Branch - Financial Planning,21 Jurong Gateway Road #01-03 CPF Jurong Building Singapore 608546,1.3350845,103.7398226
Fernvale CC Branch - 24/7 Self Service,21 Sengkang West Avenue Singapore 797650,1.3916908,103.876824
Raffles Place Branch - Financial Planning,22 Malacca St #01-00 RB Capital Building Singapore 048980,1.2839977,103.8507512
NEX Wealth Management Centre,23 Serangoon Central #02-29 NEX Singapore 556083,1.3506853,103.8719911
Bukit Panjang Branch - 24/7 Self Service,"260 Bangkit Rd, #01-15, Singapore 670260",1.3779482,103.7733395
Westgate Branch,3 Gateway Drive #04-36 Westgate Singapore 608532,1.3344044,103.7432141
Eastpoint Branch - Financial Planning,3 Simei St 6 #01-24/25 & #01-29 Singapore 528833,1.3427303,103.9530181
Suntec City Branch,3 Temasek Boulevard #02-709/710/711 Suntec City Mall Singapore 038983,1.2953441,103.8597831
Thomson Branch,301 Upper Thomson Road #01-45 Thomson Plaza Singapore 574408,1.3548791,103.8308643
Tiong Bahru Branch,"302 Tiong Bahru Road, Tiong Bahru Plaza #01-123/124 Singapore 168732",1.2864763,103.8271508
Takashimaya S.C. Branch - Financial Planning,391 Orchard Rd #B2-21 Takashimaya Shopping Centre Ngee Ann City Singapore 238872,1.3028787,103.8343718
Macpherson CC Branch - 24/7 Self-service,"400 Paya Lebar Way #01-05, MacPherson Community Club Singapore 379131",1.3235615,103.8845728
POSB Buona Vista Branch - 24/7 Self Service,43 Holland Drive #01-59 Singapore 270043,1.3074009,103.7929541
Alexandra Branch - 24/7 Self Service,"460 Alexandra Road #02-17, Alexandra Retail Centre Singapore 119963",1.2739139,103.8015008
Toa Payoh HDB Hub Branch - 24/7 Self-service,"500 Toa Payoh Lorong 6, #01-32 Singapore 310500",1.333005,103.847064
Jurong West Branch - 24/7 Self-service,"501 Jurong West Street 51, #01-279 Singapore 640501",1.3498853,103.7191669
Tampines Hub Branch - 24/7 Self-service,51 Tampines Ave 4 #B1-20 Singapore 529684,1.3527734,103.9406841
Toa Payoh Branch,520 Toa Payoh Lorong 6 #02-50 Hdb Hub Singapore 310520,1.3331711,103.8474717
Potong Pasir CC Branch - 24/7 Self-service,"6 Potong Pasir Ave 2, Potong Pasir Community Centre Singapore 358361",1.3327828,103.8671889
Plaza Singapura Branch,68 Orchard Road #B1-25 Plaza Singapura Singapore 238839,1.3009893,103.8452255
Account Services Centre (For Work Permit Holders),7 Kaki Bukit Avenue 3 #01-08/09/10/11/12 Kaki Bukit Recreation Centre Singapore 415814,1.3372052,103.9066368
Parkway Parade Branch,80 Marine Parade Road #01-12 Parkway Parade Singapore 449269,1.3013366,103.9052333
Waterway Point Branch,83 Punggol Central #B2-09 Singapore 828761,1.4067707,103.9024449
Bishan Branch,9 Bishan Place #01-14 Junction 8 Shopping Centre Singapore 579837,1.3510972,103.849937
Woodlands Branch,900 South Woodlands Drive #02-01 Woodlands Civic Centre Singapore 730900,1.4350468,103.7867371
Towner Road Branch,Blk 101 Towner Road #01-238/240/242 Singapore 322101,1.3193077,103.8609838
Yishun West Branch,Blk 101 Yishun Avenue 5 #01-05 Singapore 760101,1.4306101,103.8277144
Toa Payoh North Branch - 24/7 Self-service,Blk 107 Toa Payoh Lorong 1 #01-266 Singapore 310107,1.3412049,103.8471689
Bukit Batok West Branch - 24/7 Self-service,Blk 153 Bukit Batok West Street 11 #01-290/292 Singapore 650153,1.3491707,103.7446059
Kovan Branch,Blk 204 Hougang Street 21 #01-107/111 Singapore 530204,1.3589014,103.8851515
Kovan Branch,Blk 204 Hougang Street 21 #01-107/111 Singapore 530204,1.3589014,103.8851515
Bedok Central Branch,Blk 213 Bedok North Street 1 #01-103 Singapore 460213,1.3263737,103.9328437
Serangoon Central Branch - 24/7 Self-service,Blk 254 Serangoon Central Drive #01-205 Singapore 550254,1.354041,103.871142
Yishun North Branch - 24/7 Self-service,Blk 290 Yishun Street 22 #01-401 Singapore 760290,1.4360061,103.8363273
Kampong Ubi Branch - 24/7 Self-service,Blk 301 Ubi Avenue 1 #01-257 Singapore 400301,1.3308817,103.9015944
Woodlands West Branch - Financial Planning,BLK 303 Woodlands St 31 #01-191/195 Singapore 730303,1.4309433,103.7737488
Choa Chu Kang Branch,Blk 304 Choa Chu Kang Avenue 4 #01-657/659 Singapore 680304,1.3846038,103.7431788
Clementi Central Branch,Blk 449 Clementi Avenue 3 #01-243 Singapore 120449,1.313474,103.7648695
Clementi Central Branch,Blk 449 Clementi Avenue 3 #01-243 Singapore 120449,1.313474,103.7648695
South Bridge Branch,Blk 531 Upper Cross Street #01-51 Hong Lim Complex Singapore 050531,1.2853166,103.8458369
POSB Ang Mo Kio North Branch - 24/7 Self Service,Blk 629 Ang Mo Kio Avenue 4 #01-1018 Singapore 560629,1.3801351,103.8404202
Bukit Batok Central Branch,Blk 636 Bukit Batok Central #01-02/04 Singapore 650636,1.3495424,103.7517323
Ang Mo Kio Central Branch,Blk 712A Ang Mo Kio Avenue 6 #01-4066 Singapore 561712,1.370354,103.8468539
Ang Mo Kio Central Branch,Blk 712A Ang Mo Kio Avenue 6 #01-4066 Singapore 561712,1.370354,103.8468539
Hougang Central Branch,Blk 805 Hougang Central #01-102/104 Singapore 530805,1.3707305,103.8941321
Yishun Central Branch - Financial Planning,BLK 926 Yishun Central 1 #01-183/185 Singapore 760926,1.4278609,103.8379486
Nanyang Estate Branch - 24/7 Self-service,Blk 960 Jurong West Street 92 #01-174 Singapore 640960,1.3414911,103.6913073
Kampung Admiralty Branch - 24/7 Self-service,"Block 676 Woodlands Drive 71, Kampung Admiralty, #01-20 Singapore 730676",1.4397727,103.8002157
Holland Village Branch,"Raffles Holland V, 118 Holland Avenue #02-05 Singapore 278997",1.3105313,103.7961337
