address_road,unit_number,building_name,postal_code,address,Latitude,Longitude
2 Sembawang Crescent,#02-05/06,Canberra Community Club,Singapore 757632,2 Sembawang Crescent Singapore 757632,1.4448028,103.8197695
900 South Woodlands Drive,#03-05/06,Woodlands Civic Centre,Singapore 730900,900 South Woodlands Drive Singapore 730900,1.435152,103.787195
Blk 727 Ang Mo Kio Ave 6,#01-4246,,Singapore 560727,Blk 727 Ang Mo Kio Ave 6 Singapore 560727,1.3726272,103.8461269
90 Hougang Avenue 10,#04-15A,Hougang Mall,Singapore 538766,90 Hougang Avenue 10 Singapore 538766,1.372455,103.8938277
1 Lim Ah Pin Road,,,Singapore 547809,1 Lim Ah Pin Road Singapore 547809,1.3633167,103.8877793
80 Punggol Field,#B1-01,Punggol 21 Community Club,Singapore 828815,80 Punggol Field Singapore 828815,1.3934754,103.9135381
2 Sengkang Square,#03-01,Sengkang Community Hub,Singapore 545025,2 Sengkang Square Singapore 545025,1.3922394,103.8943066
Blk 261 Serangoon Central Dr,#01-05/07,,Singapore 550261,Blk 261 Serangoon Central Dr Singapore 550261,1.3541293,103.8725483
54 Serangoon Garden Way,#01-01,,Singapore 555950,54 Serangoon Garden Way Singapore 555950,1.3638807,103.8665778
Blk 218 Bedok North St.1,#01-49,,Singapore 460218,Blk 218 Bedok North St.1 Singapore 460218,1.3274747,103.9341374
60 Airport Boulevard,#02-25,Changi Airport Terminal 2,Singapore 819643,60 Airport Boulevard Singapore 819643,1.3551593,103.9890541
1 Pasir Ris Close,#01-307,E!Avenue @ Downtown East,Singapore 519599,1 Pasir Ris Close Singapore 519599,1.3788115,103.9550297
10 Palm Avenue,#01-01,,Singapore 456532,10 Palm Avenue Singapore 456532,1.3132316,103.9300108
350 Bedok Road,#01-01,,Singapore 469538,350 Bedok Road Singapore 469538,1.3318209,103.9475961
5 Tampines Central 6,#01-24/25,Telepark,Singapore 529482,5 Tampines Central 6 Singapore 529482,1.353279,103.9418625
1 Bukit Batok Central Link,#05-09,West Mall,Singapore 658713,1 Bukit Batok Central Link Singapore 658713,1.3500111,103.7492852
10 Choa Chu Kang Rd Track 10,#01-01,,Singapore 689379,10 Choa Chu Kang Rd Track 10 Singapore 689379,1.3792591,103.7592394
Blk 309 Choa Chu Kang Ave 4,#01-03,Choa Chu Kang Centre,Singapore 680309,Blk 309 Choa Chu Kang Ave 4 Singapore 680309,1.3851674,103.7457065
3155 Commonwealth Ave West,#05-23/24/25/26,The Clementi Mall,Singapore 129588,3155 Commonwealth Ave West Singapore 129588,1.3125415,103.7747404
Blk 727 Clementi West St.2,01-286,,Singapore 120727,Blk 727 Clementi West St.2 Singapore 120727,1.3041998,103.763811
3 Gateway Drive,02-40A Westgate,,Singapore 608532,3 Gateway Drive Singapore 608532,1.3343784,103.7427835
1 Jurong West Central 2,#B1-45,Jurong Point Shopping Centre,Singapore 648886,1 Jurong West Central 2 Singapore 648886,1.3399257,103.7062886
Blk 492 Jurong West St. 41,#01-42,,Singapore 640492,Blk 492 Jurong West St. 41 Singapore 640492,1.3500345,103.7249798
Blk 38 Teban Garden Road,#01-316,,Singapore 600038,Blk 38 Teban Garden Road Singapore 600038,1.3219153,103.7416108
51 Bishan Street 13,#01-03,Bishan Community Club,Singapore 579799,51 Bishan Street 13 Singapore 579799,1.3494542,103.8507467
Blk 165 Bukit Merah Central,#01-3689,,Singapore 150165,Blk 165 Bukit Merah Central Singapore 150165,1.2832134,103.816644
20 Toh Yi Drive,#01-05,Bukit Timah Community Club,Singapore 596569,20 Toh Yi Drive Singapore 596569,1.3405,103.7717325
180 Kitchener Rd,#B2-33,City Square Mall,Singapore 208539,180 Kitchener Rd Singapore 208539,1.3113982,103.8565897
Blk 15 Beach Road,#01-4685,,Singapore 190015,Blk 15 Beach Road Singapore 190015,1.303497,103.8631589
10 Eunos Road 8,#01-123/124/125,SingPost Centre,Singapore 408600,10 Eunos Road 8 Singapore 408600,1.3189418,103.8944605
Blk 119 Aljunied Ave 2,#01-22,,Singapore 380119,Blk 119 Aljunied Ave 2 Singapore 380119,1.3197303,103.8865492
447 Geylang Road,,,Singapore 389406,447 Geylang Road Singapore 389406,1.3133941,103.8822946
Blk 21 Ghim Moh Road,#01-225,,Singapore 270021,Blk 21 Ghim Moh Road Singapore 270021,1.3106477,103.7884371
1 Maritime Square,#03-22,HarbourFront Centre,Singapore 099253,1 Maritime Square Singapore 099253,1.2647313,103.8193854
373 Tanjong Katong Road,,,Singapore 437130,373 Tanjong Katong Road Singapore 437130,1.3030106,103.8970391
1 Killiney Road,,,Singapore 239518,1 Killiney Road Singapore 239518,1.3001861,103.8406919
70 Macpherson Road,,,Singapore 348475,70 Macpherson Road Singapore 348475,1.3284795,103.8713288
80 Marine Parade Road,,,Singapore 449269,80 Marine Parade Road Singapore 449269,1.3014702,103.9051552
396 Pasir Panjang Road,,,Singapore 118733,396 Pasir Panjang Road Singapore 118733,1.2914828,103.7714383
6 Potong Pasir Avenue 2,,Potong Pasir Community Club,Singapore 358361,6 Potong Pasir Avenue 2 Singapore 358361,1.3327828,103.8671889
56 Tanglin Road,,,Singapore 247964,56 Tanglin Road Singapore 247964,1.3056217,103.82294
Blk 28 Tiong Bahru Road,#01-141/147,,Singapore 163028,Blk 28 Tiong Bahru Road Singapore 163028,1.2857107,103.8303942
520 Lorong 6 Toa Payoh,#02-55,HDB Hub (Biz Two),Singapore 310520,520 Lorong 6 Toa Payoh Singapore 310520,1.3331711,103.8474717
Blk 203 Toa Payoh North,#01-1117/1119,,Singapore 310203,Blk 203 Toa Payoh North Singapore 310203,1.3422279,103.8488671
Blk 101 Towner Road,,,Singapore 322101,Blk 101 Towner Road Singapore 322101,1.3193077,103.8609838
300 Whampoa Drive,#01-15,Whampoa Community Club,Singapore 327737,300 Whampoa Drive Singapore 327737,1.324816,103.856995
Blk 231 Bain Street,#01-03,Bras Basah Complex,Singapore 180231,Blk 231 Bain Street Singapore 180231,1.2969044,103.8535693
2 Orchard Turn,#B2-62,ION Orchard,Singapore 238801,2 Orchard Turn Singapore 238801,1.3040542,103.8319383
10 Collyer Quay,#B1-11,Ocean Financial Centre,Singapore 049315,10 Collyer Quay Singapore 049315,1.2830123,103.852015
6A Shenton Way,#03-23,Downtown Gallery,Singapore 068815,6A Shenton Way Singapore 068815,1.2782033,103.8492087
3 Temasek Boulevard,#03-383,Suntec City Mall (between Tower 3 & 4),Singapore 038983,3 Temasek Boulevard Singapore 038983,1.295825,103.8587866
Blk 1 Tanjong Pagar Plaza,#01-25,,Singapore 082001,Blk 1 Tanjong Pagar Plaza Singapore 082001,1.2755841,103.8424828
