Town,Block No,Street Name,Address,Postal Code,Flat Type,Latitude,Longitude
Jurong West,116,Ho Ching Rd,116 Ho Ching Rd,610116,2-room,1.3348007,103.7232356
Jurong West,117,Ho Ching Rd,117 Ho Ching Rd,610117,2-room,1.335113,103.723063
Jurong West,118,Corporation Dr,118 Corporation Dr,610118,2-room,1.3353125,103.7227111
Jurong West,177,Boon Lay Dr,177 Boon Lay Dr,640177,1-room & 2-room,1.3478792,103.7095737
Jurong West,178,Boon Lay Dr,178 Boon Lay Dr,640178,1-room & 2-room,1.3474019,103.7088533
Jurong West,179,Boon Lay Dr,179 Boon Lay Dr,640179,1-room & 2-room,1.3471107,103.7090324
Jurong West,188,Boon Lay Dr,188 Boon Lay Dr,640188,1-room & 2-room,1.3440115,103.7108636
Jurong West,191,Boon Lay Dr,191 Boon Lay Dr,640191,1-room & 2-room,1.344179,103.7124931
Jurong West,967A,Jurong West St 93,967A Jurong West St 93,641967,1-room & 2-room,1.34083,103.6933286
Jurong West,967B,Jurong West St 93,967B Jurong West St 93,642967,1-room & 2-room,1.3410018,103.6930411
Choa Chu Kang,9,Teck Whye Lane,9 Teck Whye Lane,680009,2-room,1.3800408,103.7541021
Choa Chu Kang,165A,Teck Whye Cres,165A Teck Whye Cres,681165,1-room & 2-room,1.3829109,103.7533229
Choa Chu Kang,536,Choa Chu Kang St 51,536 Choa Chu Kang St 51,680536,1-room & 2-room,1.3916599,103.744151
Choa Chu Kang,537,Choa Chu Kang St 51,537 Choa Chu Kang St 51,680537,1-room & 2-room,1.3921641,103.7441591
Choa Chu Kang,813A,Choa Chu Kang Ave 7,813A Choa Chu Kang Ave 7,681813,1-room & 2-room,1.3739801,103.7449757
Jurong East,373,Jurong East St 32,373 Jurong East St 32,600373,1-room & 2-room,1.3494236,103.7324691
Jurong East,374,Jurong East St 32,374 Jurong East St 32,600374,1-room & 2-room,1.3497227,103.7326349
Jurong East,240B,Jurong East Ave 1,240B Jurong East Ave 1,602240,1-room & 2-room,1.3409345,103.7426358
Clementi,344,Clementi Ave 5,344 Clementi Ave 5,120344,2-room,1.3180754,103.7690618
Clementi,366,Clementi Ave 2,366 Clementi Ave 2,120366,1-room & 2-room,1.3125343,103.7717325
Clementi,367,Clementi Ave 2,367 Clementi Ave 2,120367,1-room & 2-room,1.3129376,103.7715967
Clementi,419,Clementi Ave 1,419 Clementi Ave 1,120419,1-room & 2-room,1.3101863,103.7695824
Clementi,422,Clementi Ave 1,422 Clementi Ave 1,120422,1-room & 2-room,1.3091903,103.7692182
Bukit Batok,109,Bt Batok West Ave 6,109 Bt Batok West Ave 6,650109,1-room & 2-room,1.3469891,103.7461618
